sku,nombre,categoria,costo,precio_consignacion,precio_publico,comision_tienda,stock_central
7503027214069,Cargador Tipo C 1Hra 10W Negro,Cargadores,38,80.75,95,20,1
6974368777932,Cargador Tipo C 1Hra 10W Negro N,Cargadores,38,85,100,20,5
7503027214052,Cargador Tipo C 1Hra Blanco,Cargadores,38,80.75,95,20,1
7503027214007,Cargador V8 1Hora 2.0 A Blanco,Cargadores,36,72.25,85,20,0
7503027214038,Cargador V8 1Hra 2.0 A Negro,Cargadores,38,72.25,85,20,3
6974368777529,Cubo Cargador 20W 1Hora,Cargadores,40,80.75,95,20,5
6900214000022,Fuente Xbox 360,Cargadores,300,323,380,20,1
131,Power Bank JAPI 5000 mAh,Cargadores,103,178.5,210,20,0
7503035048861,Soporte Carga Inalámbrica 15W 1Hora,Cargadores,114.75,212.5,250,20,0
133,Turbo Cargador 20W JAPI,Cargadores,35,59.5,70,20,0
79080437290,Funda 15 Pro Max Morada,Fundas,120,170,200,20,0
68519,Funda Samsung A15,Fundas,120,212.5,250,20,2
79114105103,Funda Tipo Original,Fundas,0,102,120,20,20
6999111110,Funda Transparente,Fundas,60,85,100,20,2
195949052491,AirPods Pro 2da Gen,Audífonos,180,272,320,20,7
99001919,Audifono BT Tipo airpod Blanco,Audífonos,101,144.5,170,20,0
40410,Audifonos Bluetooth i14,Audífonos,40,102,120,20,1
7502262800600,AUDIFONOS CON MICROFONO,Audífonos,60,93.5,110,20,1
4521230615230,Audífonos SONY CH-410,Audífonos,160,212.5,250,20,0
27242867086,Audífonos SONY MDR-ZX110,Audífonos,120,195.5,230,20,1
8806090806094,Samsung Buds+ Negro,Audífonos,250,270,290,20,0
4712366965850,MEMORIA USB ADATA METALICA 64GB,Memorias,65,119,140,20,0
4711085939111,MEMORIA USB C ADATA,Memorias,85,144.5,170,20,0
740617280524,Micro SD 128 GB 100 MB/s,Memorias,120,170,200,20,1
4713435794043,Micro SD Adata 16GB,Memorias,55,93.5,110,20,0
4713435796849,Micro SD Adata 64 GB,Memorias,90,148.75,175,20,0
4718050609604,USB Adata 16GB,Memorias,55,97.75,115,20,0
4713218462749,USB Adata 32 GB Azul,Memorias,66.37,106.25,125,20,0
4713218468802,USB ADATA 32GB NEGRA,Memorias,65,106.25,125,20,1
4713218466150,USB ADATA 32GB ROJA,Memorias,72,110.5,130,20,1
4713218468819,USB Adata 64GB,Memorias,75,119,140,20,0
4713218465405,USB ADATA 64GB NEGRA,Memorias,61,119,140,20,1
843367105182,USB Lexar 16gb,Memorias,130,132.5,135,20,0
